project_name,county,Fuel,Capacity (MW),latitude,longitude,GIM Study Phase,Interconnecting Entity,Projected COD
Eagle Pines Gas,Cherokee,GAS,1173.5,31.8390826,-95.1791849,"SS Completed, FIS Started, No IA",FGE Power,2028-10-30
"Wise County Power Repower (CT1, CT2)",Wise,GAS,21.0,33.2139213,-97.6563925,"SS Completed, FIS Completed, IA",Wise County Power Company LLC,2026-12-19
Air Products GCA,Galveston,GAS,14.0,29.3872254,-94.992736,"SS Completed, FIS Completed, IA",Air Products,2025-12-31
Hays Energy Unit 3 Repower,Hays,GAS,18.0,30.0447901,-98.0393127,"SS Completed, FIS Started, No IA","HAYS ENERGY, LLC",2027-07-01
Midlothian Unit 2 repower,Ellis,GAS,18.0,32.3347829,-96.7920233,"SS Completed, FIS Started, No IA","MIDLOTHIAN ENERGY, LLC",2027-06-03
TEXPO,Wilbarger,GAS,680.0,34.0265157,-99.2085961,"SS Completed, FIS Started, No IA","Oklaunion Power Station, LLC",2027-10-31
Midlothian 4 repower,Ellis,GAS,18.0,32.3347829,-96.7920233,"SS Completed, FIS Started, No IA","MIDLOTHIAN ENERGY, LLC",2027-06-03
Midlothian Unit 3 repower,Ellis,GAS,18.0,32.3347829,-96.7920233,"SS Completed, FIS Started, No IA","MIDLOTHIAN ENERGY, LLC",2027-06-03
Enchanted Rock NEWPP,Harris,GAS,30.0,29.8119769,-95.3741247,"SS Completed, FIS Completed, IA","Generate ER-NG, LLC",2026-02-28
Hays Energy Unit 2 Repower,Hays,GAS,18.0,30.0447901,-98.0393127,"SS Completed, FIS Started, No IA","HAYS ENERGY, LLC",2027-07-01
Cedar Bayou 5 (TEF - Due Diligence),Chambers,GAS,697.0,29.7191125,-94.5412295,"SS Completed, FIS Completed, IA",NRG Cedar Bayou 5 LLC,2027-12-15
Lamar Unit 1 Repower,Lamar,GAS,66.0,33.6383552,-95.582343,"SS Completed, FIS Started, No IA","La Frontera Holdings, LLC",2027-12-18
Calpine Guadalupe Peakers,Guadalupe,GAS,450.0,29.6480061,-97.8279576,"SS Completed, FIS Started, No IA","Guadalupe Peaking Energy Center, LLC",2030-05-30
NRG Greens Bayou 6 (TEF-Due Diligence),Harris,GAS,445.0,29.8119769,-95.3741247,"SS Completed, FIS Completed, IA",NRG Greens Bayou 6 LLC,2028-05-01
CPS AvR CT1 Rotor Replacement,Bexar,GAS,11.3,29.4263987,-98.5104781,"SS Completed, FIS Completed, No IA",CPS Energy,2026-08-07
Wolf Hollow III,Hood,GAS,306.32,32.4107555,-97.828282,"SS Completed, FIS Started, No IA",Wolf Hollow II Power LLC,2027-05-31
Boling Generation (TEF-Due Diligience),Wharton,GAS,400.0,29.2454534,-96.2291474,"SS Completed, FIS Completed, No IA",Boling Generation,2028-12-16
TEXAS GULF SULPHUR REPOWER,Wharton,GAS,16.1,29.2454534,-96.2291474,"SS Completed, FIS Completed, IA","Wharton County Generation, LLC",2025-03-27
BasRanch (TEF - Due Diligence),Ward,GAS,1350.0,31.5007583,-103.0781186,"SS Completed, FIS Completed, IA","CPV Basin Ranch, LLC",2028-12-01
CPS Energy AvR1CT2 Rotor Replacement,Bexar,GAS,23.2,29.4263987,-98.5104781,"SS Completed, FIS Completed, No IA",CPS Energy,2026-08-07
Hays Energy Unit 1 Repower,Hays,GAS,18.0,30.0447901,-98.0393127,"SS Completed, FIS Started, No IA","HAYS ENERGY, LLC",2027-07-01
Hays Energy Unit 4 Repower,Hays,GAS,18.0,30.0447901,-98.0393127,"SS Completed, FIS Started, No IA","HAYS ENERGY, LLC",2027-07-01
Graphic Packaging Gas,McLennan,GAS,43.36,31.5487691,-97.2189254,"SS Completed, FIS Completed, IA",Graphic Packaging International,2027-02-15
Bastrop Peaking Generators (TEF-Due Diligence),Bastrop,GAS,1104.0,30.0541116,-97.3887764,"SS Completed, FIS Started, IA","MPH Bastrop Peakers, LLC",2027-12-07
