project_name,developer,city,county,latitude,longitude,estimated_mw,stage,power_type,ercot_status,permit_status,latest_signal,source,source_url,last_updated
Plano Data Center: DFW8,DataBank,,Collin,33.1609629,-96.6060984,63.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1003/plano-data-center-dfw8,2026-08-08
NTT Dallas TX4,NTT,,Dallas,32.7620405,-96.7790069,50.0,Early Stage,Unknown,Not checked,Not checked,Cleanview status: Planned,Cleanview,https://www.cleanview.co/data-centers/texas/1029/ntt-dallas-tx4,2026-08-08
Skybox Austin Data Center 1,Skybox,,Travis,30.2878569,-97.7561392,30.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1048/skybox-austin-data-center-1,2026-08-08
Blueprint Projects: Taylor City,Blueprint Projects,,Williamson,30.6580927,-97.6041649,30.0,Early Stage,Unknown,Not checked,Not checked,Cleanview status: Planned,Cleanview,https://www.cleanview.co/data-centers/texas/1053/blueprint-projects-taylor-city,2026-08-08
SkyBox Houston 1,Skybox,,Harris,29.8119769,-95.3741247,26.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1063/skybox-houston-1,2026-08-08
TRG Houston Data Center,TRG,,Harris,29.8119769,-95.3741247,24.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1072/trg-houston-data-center,2026-08-08
Stack DFW01A,Stack Infrastructure,,Collin,33.1609629,-96.6060984,27.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1084/stack-dfw01a,2026-08-08
Core Scientific Austin,Core Scientific,,Travis,30.2878569,-97.7561392,20.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1089/core-scientific-austin,2026-08-08
Westway Park I Data Center: HOU 1,DataBank,,Harris,29.8119769,-95.3741247,25.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1116/westway-park-i-data-center-hou-1,2026-08-08
Plano Data Center: DFW3,DataBank,,Collin,33.1609629,-96.6060984,22.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1135/plano-data-center-dfw3,2026-08-08
Flexential Dallas - Plano,Flexential,,Collin,33.1609629,-96.6060984,25.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1143/flexential-dallas---plano,2026-08-08
Stack DFW01B,Stack Infrastructure,,Collin,33.1609629,-96.6060984,14.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1152/stack-dfw01b,2026-08-08
Aligned Dallas DFW01-02,Aligned,,Collin,33.1609629,-96.6060984,10.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1160/aligned-dallas-dfw01-02,2026-08-08
Westway Park II Data Center: HOU 2,DataBank,,Harris,29.8119769,-95.3741247,14.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1174/westway-park-ii-data-center-hou-2,2026-08-08
Stream Data Center: Houston I,Stream Data Centers,,Montgomery,30.301949,-95.5065944,8.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1186/stream-data-center-houston-i,2026-08-08
Stream Data Center: Austin I,Stream Data Centers,,Travis,30.2878569,-97.7561392,10.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1193/stream-data-center-austin-i,2026-08-08
Westway Park III Data Center: HOU 3,DataBank,,Harris,29.8119769,-95.3741247,8.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1214/westway-park-iii-data-center-hou-3,2026-08-08
Houston Galleria Data Center: HOU 5,DataBank,,Harris,29.8119769,-95.3741247,8.0,Operational,Unknown,Not checked,Not checked,Cleanview status: Operating,Cleanview,https://www.cleanview.co/data-centers/texas/1215/houston-galleria-data-center-hou-5,2026-08-08
